Store,Dept,RMSE,MAE
1,1,8549.07118457,3564.36958823
1,2,6470.78230362,6159.82988918
1,3,5290.79363604,2378.16059899
1,4,2789.83318764,2329.72779085
1,5,9075.76500962,8150.23951746
1,6,2165.6313324,1859.89182094
1,7,13231.6000139,12466.6667789
1,8,3989.52864654,3572.17356537
1,9,4650.50107136,3132.84162309
1,10,3755.72876816,2798.3364436
1,11,5101.78326225,3962.36593738
1,12,1727.30026221,1366.34308456
1,13,3928.18643395,3514.76017502
1,14,2059.88174383,1553.32929589
1,16,4776.77971247,3885.69878718
1,17,1418.37114562,1198.19261618
1,18,3266.10836899,1670.12420907
1,19,438.587010435,342.874980285
1,20,902.487719452,717.878581466
1,21,1279.91556191,1061.43686816
1,22,1309.38440572,1154.50947116
1,23,2725.93532938,2340.99560957
1,24,2606.91843726,1970.63681046
1,25,1596.47131367,1213.57226908
1,26,2016.08592981,1602.52690545
1,27,354.366740903,289.050874613
1,28,111.35206191,90.2221442432
1,29,524.378286462,422.420123406
1,30,498.805542667,389.550957416
1,31,1118.13536478,658.697150153
1,32,1821.4278305,1410.51934594
1,33,2205.96851586,1664.11840076
1,34,2523.92996161,1968.49207681
1,35,569.444610076,468.628946898
1,36,778.108538872,597.427668078
1,37,420.957437267,342.043707025
1,38,9952.60898162,7867.19683732
1,40,5792.84593003,5367.52079504
1,41,1046.84201453,988.616020642
1,42,1067.83722344,770.638678306
1,44,1016.4229751,873.060101636
1,45,12.7722974854,9.84768641275
1,46,2011.85783119,1686.85377491
1,47,143.208922436,104.727359518
1,48,1699.15307628,1551.06624922
1,49,2725.3448931,2269.56923926
1,51,0.315129612721,0.315129612721
1,52,669.140341845,538.52682649
1,54,53.3124553143,41.1775303932
1,55,2343.22834442,1990.57669163
1,56,1080.38631009,872.756691475
1,58,2168.68371483,1726.56277976
1,59,6369.27552169,6312.87350638
1,60,148.76583128,118.221065999
1,67,2372.33093421,1130.14030108
1,71,986.209220714,768.894372929
1,72,9340.51367556,6645.60873679
1,74,3284.71036341,2804.05629705
1,77,91.90396645,84.6272103629
1,78,1.5352009496,0.292136695027
1,79,3833.96039912,2699.05120345
1,80,3041.89020632,1854.49859157
1,81,2212.95633261,1870.94774444
1,82,3149.32076649,2733.4320402
1,83,991.252388119,848.016756738
1,85,572.055785164,441.668882318
1,87,4923.38094477,3666.19439471
1,90,5741.21538197,4787.54908606
1,91,3040.5125563,2390.38303748
1,92,6406.72240904,5204.93279762
1,93,5011.77321408,4072.2555968
1,94,6560.95705092,5487.85045613
1,95,5601.22950358,4438.19083143
1,96,4753.59663848,3081.96797668
1,97,1816.2097859,1466.16515134
1,98,1507.18237301,1258.81208809
1,99,800.674636248,777.147322215
1,39,0,0
1,50,0,0
1,43,0,0
1,65,0,0
2,1,14114.7515881,9006.10682662
2,2,3105.71809441,2526.10036213
2,3,6170.3597738,3142.26589704
2,4,4172.69754025,3595.45360942
2,5,11920.5364229,10947.9005477
2,6,5626.09337454,5440.60370991
2,7,19946.2992236,18665.5803236
2,8,6467.52058777,5753.44904326
2,9,4446.33974765,3359.90947195
2,10,4267.68522386,3504.08294461
2,11,4670.67402887,3705.27421112
2,12,971.258667526,810.336170494
2,13,6983.36239815,6565.80153709
2,14,2304.5652481,1815.1522689
2,16,6022.98551389,4254.99199035
2,17,2153.34675645,1828.60176106
2,18,4763.0448503,2884.51640534
2,19,967.454041557,862.065509972
2,20,634.662240859,536.864472332
2,21,1117.09523864,906.290736254
2,22,4210.994456,3776.39951431
2,23,5712.30101885,4859.22671364
2,24,2595.81643896,1572.2419619
2,25,2370.13103942,1845.28956108
2,26,1559.48850398,1114.3150374
2,27,324.209727396,251.652659963
2,28,247.652157821,222.213620336
2,29,1075.82640072,888.973170639
2,30,860.549631859,724.811604201
2,31,1341.85118467,719.731187726
2,32,2916.57911783,1912.02008593
2,33,1891.49479513,1212.15217354
2,34,2350.37387145,1857.66940801
2,35,1117.87921298,893.935125723
2,36,1012.84799867,846.211317087
2,37,516.060836529,391.557709086
2,38,16155.2863557,14383.0497797
2,40,11698.172636,11083.3297985
2,41,1615.7025561,1084.92130441
2,42,1217.78448706,1020.63750964
2,44,1289.86324438,1081.43381089
2,45,18.3278552497,14.9727823751
2,46,7110.27399652,6831.41074277
2,47,161.014033493,64.2563005156
2,48,1467.17635499,1038.68275922
2,49,3706.50967609,3108.8234303
2,51,4.98846588856e-07,4.98846588818e-07
2,52,1035.90993291,790.533588702
2,54,84.5257259544,74.6963728057
2,55,2096.16987527,1733.19523573
2,56,2103.75645351,1356.18353934
2,58,9068.88365111,7846.03166947
2,59,10262.1269347,9762.12340011
2,60,166.933395407,140.181866027
2,67,3879.70628964,2315.4114409
2,71,1063.61996321,835.488165495
2,72,13439.1789194,10548.2589371
2,74,1750.57877167,1460.03373726
2,77,78.8563969114,78.8563969114
2,78,5.29184807207,2.21405333496
2,79,3473.36273949,2727.62801172
2,80,2275.08811731,1781.58103115
2,81,3586.2618036,3280.51525143
2,82,16800.0375929,16630.3087482
2,83,826.695879454,668.342083934
2,85,621.312099499,456.040766923
2,87,4986.06524153,4175.38674709
2,90,4104.83858065,3008.78827174
2,91,8253.45655727,7719.18171466
2,92,8894.76667539,6854.47204915
2,93,7994.53860655,6931.44308833
2,94,5182.70754995,3990.89036443
2,95,17381.0747811,16065.3632123
2,96,13268.6599235,12863.7615388
