Store,Dept,RMSE,MAE
1,1,6221.3812538,3781.84156602
1,2,3029.45249019,2575.51071061
1,3,4048.06078883,2313.61092927
1,4,2928.25025896,2287.16626865
1,5,5504.91241693,4020.52512125
1,6,2074.86318853,1466.10877394
1,7,9574.43188918,5999.8880488
1,8,3982.48625265,3418.75172772
1,9,5252.52337268,3477.95746933
1,10,3500.66269126,2896.73173607
1,11,4872.6641185,3897.88661925
1,12,1297.33834688,1078.7451181
1,13,3978.00754994,3266.87445812
1,14,3109.03585883,2100.5029805
1,16,5711.01463183,4420.06006526
1,17,1284.64922113,1080.10362468
1,18,3439.09580792,2279.93546269
1,19,597.993296528,505.736857565
1,20,982.7346013,776.663504918
1,21,1457.28860971,1279.81577268
1,22,1377.24114751,1055.64971446
1,23,3236.85661504,2418.87235279
1,24,2317.62487828,1841.92375625
1,25,1482.2505265,1105.68602719
1,26,1876.0079293,1500.73192663
1,27,251.383149637,189.789434752
1,28,134.756510562,115.034546314
1,29,830.147132249,586.024507772
1,30,495.72924003,384.26320314
1,31,738.174915042,564.150967248
1,32,2549.66939699,1685.89572253
1,33,2158.37772025,1716.56147325
1,34,2789.50265447,2292.83900339
1,35,482.101308349,411.23381142
1,36,739.314482069,515.418303725
1,37,376.749813851,295.150628641
1,38,9786.3717382,7447.49565612
1,40,4299.29862117,3673.93238844
1,41,273.626405574,204.560811666
1,42,952.774084882,724.285374229
1,44,854.220381837,703.831849897
1,45,14.4762357064,9.38102096222
1,46,2397.06389952,1506.72535063
1,47,69.1836424219,45.7154605869
1,48,751.005658792,637.661754656
1,49,2119.44890938,1650.56593638
1,51,21.0966374638,19.2890682636
1,52,546.208647418,449.01681742
1,54,73.3394043333,59.5483512119
1,55,2434.69372753,1508.06106235
1,56,1158.73004099,900.956759436
1,58,1964.56501096,1410.30128919
1,59,1422.54373957,1301.47065409
1,60,194.195821562,160.515306791
1,67,2539.67416939,1913.95832264
1,71,860.798157506,587.901275936
1,72,13191.207904,8016.71983438
1,74,2350.1438595,2014.72599395
1,77,93.5939398119,74.6333080408
1,78,0.93531486408,0.777750795289
1,79,6400.11246643,4798.81031015
1,80,2005.92320559,1466.11022949
1,81,2374.70604395,1977.25330808
1,82,3006.88092571,2047.04617015
1,83,1019.3312388,799.39879459
1,85,803.256215457,679.069724894
1,87,6769.63955938,6048.33930093
1,90,10263.5699329,9106.92645829
1,91,5784.35223357,4791.59581219
1,92,11800.5564879,9814.19022031
1,93,8185.94420033,6727.1851027
1,94,8297.9881088,7454.01341907
1,95,6804.24833789,5272.70541591
1,96,7086.72642409,5526.51319836
1,97,3195.62562366,2608.52831495
1,98,1136.33430172,859.939418374
1,99,326.360994004,293.300219171
1,39,0.0,0.0
1,50,0.0,0.0
1,43,0.0,0.0
1,65,0.0,0.0
2,1,9614.85937414,6827.3795499
2,2,4295.51121187,3580.29680054
2,3,4115.86911435,2390.58223098
2,4,4062.4975384,3484.96919316
2,5,9266.4563505,6418.5452967
2,6,3034.37250628,2074.74156248
2,7,15484.2277028,9532.94131917
2,8,6970.38321504,6301.47383998
2,9,7521.63167534,6086.50734645
2,10,2926.12028175,2292.76365162
2,11,4347.64787124,3518.59244973
2,12,1482.64641095,1333.08568658
2,13,6593.89537431,6118.25546609
2,14,4724.47293935,3444.09608434
2,16,6293.59495668,4898.58588712
2,17,1655.30770643,1237.95288769
2,18,4384.76433252,2973.13602442
2,19,1381.51930297,1264.35694988
2,20,1033.24413439,898.34027885
2,21,1124.85953859,919.375352715
2,22,2921.2313703,2475.29447548
2,23,5197.59776177,3983.90464941
2,24,2201.01061976,1551.49324062
2,25,2257.6148766,1829.40024515
2,26,1647.46388245,1288.91898986
2,27,351.486423219,230.189174215
2,28,264.691986193,244.712750517
2,29,1238.74480236,947.645590321
2,30,700.683997918,574.728037768
2,31,991.03877321,652.519517745
2,32,3564.8790437,2285.37638603
2,33,1531.88025769,1196.35741252
2,34,3643.41343582,3050.9427616
2,35,857.226772763,675.199165301
2,36,993.545328373,748.823553448
2,37,584.697764491,458.871347056
2,38,10153.4903961,8353.53760957
2,40,10487.7240041,9858.13288919
2,41,1260.11280809,857.112867434
2,42,1272.9212634,1116.55592675
2,44,1106.16112318,925.790601217
2,45,20.2488168553,16.7358390242
2,46,3704.5420849,2093.67857967
2,47,125.84894847,86.3932606541
2,48,1352.37383503,929.020678113
2,49,2778.73912389,2234.86372701
2,51,4.01911160468,2.43946857853
2,52,748.054397869,584.430600829
2,54,139.629573267,130.360567027
2,55,4070.42669532,2541.97275343
2,56,1733.70545907,1288.09467586
2,58,5786.56822482,4315.12912932
2,59,3135.15071082,3054.84667143
2,60,153.78501999,138.787693206
2,67,4113.78873567,2976.20218141
2,71,855.285865728,677.556355307
2,72,18613.1944754,11581.6319478
2,74,2712.60381659,2431.95930551
